complexity,loss,equation,score,sympy_format,lambda_format,score_dong
1,0.096471325,0.48102975,0.0,0.481029750000000,PySRFunction(X=>0.481029750000000),0.0
5,0.025486175,(n_mult * -0.26352483) + 0.48292738,0.3327774164116311,0.48292738 + n_mult*(-0.26352483),PySRFunction(X=>0.48292738 + n_mult*(-0.26352483)),0.33277741641163106
6,0.01798139,square((n_mult * -0.23520032) + 0.6500705),0.34879881410597335,(0.6500705 + n_mult*(-0.23520032))**2,PySRFunction(X=>(0.6500705 + n_mult*(-0.23520032))**2),0.3487988141059737
8,0.017607072,(square(2.2222292 - n_mult) * 0.06829242) + 0.07390351,0.010518347328435575,(2.2222292 - n_mult)**2*0.06829242 + 0.07390351,PySRFunction(X=>(2.2222292 - n_mult)**2*0.06829242 + 0.07390351),0.010518347328435596
10,0.017251503,square(((1.7904091 - n_mult) * -0.34023863) - (LHA * 0.087916344)),0.010200684701051094,(-0.087916344*LHA + (1.7904091 - n_mult)*(-0.34023863))**2,PySRFunction(X=>(-0.087916344*LHA + (1.7904091 - n_mult)*(-0.34023863))**2),0.010200684701050733
11,0.014969212,sqrt(square((LHA - ((n_mult + C1_b02) + -1.8626949)) * 0.2511338)),0.14190371168099328,sqrt((-0.2511338*C1_b02 + 0.2511338*LHA - 0.2511338*n_mult + 0.46778564847762)**2),PySRFunction(X=>sqrt((-0.2511338*C1_b02 + 0.2511338*LHA - 0.2511338*n_mult + 0.46778564847762)**2)),0.14190371168099336
12,0.014944612,square((((C1_b02 - LHA) + (n_mult / 0.3896986)) / -12.921822) + 0.6599375),0.0016447248967900352,((C1_b02 - LHA + n_mult/0.3896986)/(-12.921822) + 0.6599375)**2,PySRFunction(X=>((C1_b02 - LHA + n_mult/0.3896986)/(-12.921822) + 0.6599375)**2),0.0016447248967903505
13,0.014912402,sqrt(square((width - (n_mult + ((n_mult + C1_b02) + -3.409106))) * 0.13706008)),0.002157617804355063,sqrt((-0.13706008*C1_b02 - 0.27412016*n_mult + 0.13706008*width + 0.46725234108848)**2),PySRFunction(X=>sqrt((-0.13706008*C1_b02 - 0.27412016*n_mult + 0.13706008*width + 0.46725234108848)**2)),0.00215761780435475
15,0.012033654,square((((square(C1_b02 - LHA) + (n_mult + C1_b02)) + -3.5003579) - LHA) * 0.19771677),0.10724299560963138,0.0390919211392329*(C1_b02 - LHA + n_mult + (C1_b02 - LHA)**2 - 3.5003579)**2,PySRFunction(X=>0.0390919211392329*(C1_b02 - LHA + n_mult + (C1_b02 - LHA)**2 - 3.5003579)**2),0.10724299560963146
